SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2726,Bitcoin,BTC,2020-10-14 23:59:59,11539.97794666,11307.8308683,11429.04780192,11429.50688675,24103426719.264656,211643390713.38098
2727,Bitcoin,BTC,2020-10-15 23:59:59,11569.91418955,11303.60351126,11426.60259823,11495.34965037,24487233057.769238,212873103428.00137
2728,Bitcoin,BTC,2020-10-16 23:59:59,11540.06192994,11223.01278163,11502.82812628,11322.12268618,25635480771.680893,209676088343.852
2729,Bitcoin,BTC,2020-10-17 23:59:59,11386.26157113,11285.34551243,11322.1226857,11358.10156733,19130430173.838352,210353665235.45236
2730,Bitcoin,BTC,2020-10-18 23:59:59,11483.35971184,11347.57856324,11355.98226642,11483.35971184,18283314340.336567,212682581771.31262
2731,Bitcoin,BTC,2020-10-19 23:59:59,11799.0929777,11408.29011785,11495.03793859,11742.03715033,23860769927.722214,217482407293.08884
2732,Bitcoin,BTC,2020-10-20 23:59:59,11999.91801959,11681.48002079,11745.97493298,11916.33514058,30915821592.101612,220721282864.58752
2733,Bitcoin,BTC,2020-10-21 23:59:59,13184.56617255,11900.92861734,11913.07748936,12823.68918938,43414712626.04591,237532386962.5129
2734,Bitcoin,BTC,2020-10-22 23:59:59,13161.5941072,12717.09345651,12801.63536307,12965.89129043,34729759598.04668,240166387521.54385
2735,Bitcoin,BTC,2020-10-23 23:59:59,13015.96144265,12752.64702492,12971.54847683,12931.53902256,28974975002.911232,239557562148.2678
2736,Bitcoin,BTC,2020-10-24 23:59:59,13145.06668559,12885.74662851,12931.57391476,13108.06261161,24542317939.955215,242839876186.2097
2737,Bitcoin,BTC,2020-10-25 23:59:59,13329.18403245,12910.06108914,13108.06314181,13031.17431056,24406920575.03764,241425217439.91174
2738,Bitcoin,BTC,2020-10-26 23:59:59,13225.29776076,12822.38232695,13031.20124688,13075.24769656,29461458313.155544,242250997935.6733
2739,Bitcoin,BTC,2020-10-27 23:59:59,13759.66872521,13060.83803686,13075.24249433,13654.21844012,33749878155.991123,252985946389.91595
2740,Bitcoin,BTC,2020-10-28 23:59:59,13837.69545246,12932.25058412,13654.21446094,13271.28536861,35867318894.915474,245899824464.83194
2741,Bitcoin,BTC,2020-10-29 23:59:59,13612.04801658,12980.0592813,13271.29897868,13437.8832414,56499499598.2837,248995322466.39035
2742,Bitcoin,BTC,2020-10-30 23:59:59,13651.51626952,13136.19868838,13437.87353717,13546.52226938,30581485200.6849,251018154919.98657
2743,Bitcoin,BTC,2020-10-31 23:59:59,14028.21429317,13457.52983298,13546.5326493,13780.99470249,30306464718.755116,255372071116.27853
2744,Bitcoin,BTC,2020-11-01 23:59:59,13862.03362917,13628.37821941,13780.99480514,13737.10982864,24453857900.087803,254569759062.58606
2745,Bitcoin,BTC,2020-11-02 23:59:59,13808.32287396,13243.159866,13737.03221087,13550.4893841,30771455467.792126,251119864445.3435
2746,Bitcoin,BTC,2020-11-03 23:59:59,13984.98192782,13325.44138201,13550.450882,13950.30084729,29869951617.253494,258541441763.9419
2747,Bitcoin,BTC,2020-11-04 23:59:59,14218.76646779,13580.47207098,13950.4879059,14133.70715301,35116364961.75642,261954213176.1068
2748,Bitcoin,BTC,2020-11-05 23:59:59,15706.40445571,14102.08909494,14133.73388336,15579.84846029,40856321438.537605,288771509680.94745
2749,Bitcoin,BTC,2020-11-06 23:59:59,15903.43797604,15226.8393924,15579.72923853,15565.88058083,39837841971.44575,288526920959.49664
2750,Bitcoin,BTC,2020-11-07 23:59:59,15737.09557115,14423.20290926,15565.88058298,14833.7541075,35024953705.61895,274970333139.98395
2751,Bitcoin,BTC,2020-11-08 23:59:59,15637.32033788,14744.10989581,14833.75408424,15479.56703842,26632075028.854877,286955182899.01483
2752,Bitcoin,BTC,2020-11-09 23:59:59,15785.13687202,14865.52927664,15479.59572319,15332.31559743,34149115565.701946,284236108837.2787
2753,Bitcoin,BTC,2020-11-10 23:59:59,15450.32935034,15124.95988876,15332.350373,15290.90268148,25574938143.151707,283468380961.4247
2754,Bitcoin,BTC,2020-11-11 23:59:59,15916.26081024,15290.00681729,15290.90879034,15701.33973237,29772374934.006966,291077214051.6671
2755,Bitcoin,BTC,2020-11-12 23:59:59,16305.00422517,15534.7718061,15701.29906726,16276.34394919,34175758344.061382,301736853824.6971
2756,Bitcoin,BTC,2020-11-13 23:59:59,16463.17783998,15992.1528006,16276.4404772,16317.80819009,31599492172.18153,302505533181.2506
2757,Bitcoin,BTC,2020-11-14 23:59:59,16317.80834223,15749.19296725,16317.80834223,16068.13870685,27481710135.408524,297877068422.63354
2758,Bitcoin,BTC,2020-11-15 23:59:59,16123.11045585,15793.53391679,16068.13999417,15955.58743887,23653867582.698807,295790551597.8903
2759,Bitcoin,BTC,2020-11-16 23:59:59,16816.18144902,15880.7056812,15955.57698439,16716.11132377,31526766675.186485,309889423249.1071
2760,Bitcoin,BTC,2020-11-17 23:59:59,17782.92055432,16564.54499204,16685.69093058,17645.40576746,39006849169.8069,327257094857.4363
2761,Bitcoin,BTC,2020-11-18 23:59:59,18393.94914579,17352.906612,17645.19047404,17804.00563217,49064800277.874275,330218014062.15594
2762,Bitcoin,BTC,2020-11-19 23:59:59,18119.54784964,17382.55398903,17803.86174661,17817.09024754,36985055355.38892,330475167134.4854
2763,Bitcoin,BTC,2020-11-20 23:59:59,18773.22751179,17765.79576896,17817.08366299,18621.31436938,36992873939.98525,345411881099.1716
2764,Bitcoin,BTC,2020-11-21 23:59:59,18936.62068806,18444.3589249,18621.31587778,18642.23276593,39650210707.296875,345819234184.5931
2765,Bitcoin,BTC,2020-11-22 23:59:59,18688.96913465,17671.38482599,18642.232992,18370.00252365,41280434225.93024,340790183317.33075
2766,Bitcoin,BTC,2020-11-23 23:59:59,18711.42673061,18000.79611004,18370.01733874,18364.12159134,42741112307.89879,340698070308.13434
2767,Bitcoin,BTC,2020-11-24 23:59:59,19348.27096299,18128.65617407,18365.01468531,19107.46444977,51469565008.67291,354504361032.3469
2768,Bitcoin,BTC,2020-11-25 23:59:59,19390.96555566,18581.14653195,19104.40961035,18732.1207774,43710357371.4586,347558803507.37305
2769,Bitcoin,BTC,2020-11-26 23:59:59,18866.28612952,16351.03485441,18729.84058731,17150.62357809,61396835736.93506,318231964319.3874
2770,Bitcoin,BTC,2020-11-27 23:59:59,17445.02428555,16526.42352825,17153.91312468,17108.40172774,38886494645.12133,317464460530.40906
2771,Bitcoin,BTC,2020-11-28 23:59:59,17853.93919131,16910.65271094,17112.93423773,17717.4150112,32601040733.642757,328782832211.7004
