SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
580,Wrapped Bitcoin,WBTC,2020-09-01 23:59:59,12388.6725304,11650.4295324,11847.0830405,11750.6287641,23768873.1242895,447751610.085586
581,Wrapped Bitcoin,WBTC,2020-09-02 23:59:59,12039.314909,11250.2685395,11750.4105474,11495.7377094,9505340.16889111,449530258.157565
582,Wrapped Bitcoin,WBTC,2020-09-03 23:59:59,11563.6484841,10481.2399155,11524.2391117,10564.65881,17753084.0258992,437832316.82096
583,Wrapped Bitcoin,WBTC,2020-09-04 23:59:59,10697.5296715,10264.7411542,10568.7404848,10548.8169291,10731020.143825,437175780.008746
584,Wrapped Bitcoin,WBTC,2020-09-05 23:59:59,10667.5523405,10113.8258287,10550.3835707,10272.636015,17450224.6256365,449604309.198443
585,Wrapped Bitcoin,WBTC,2020-09-06 23:59:59,10415.8027155,10083.1274766,10270.1377873,10299.8724949,11006770.7627344,459600487.034108
586,Wrapped Bitcoin,WBTC,2020-09-07 23:59:59,10400.7036504,9924.05544734,10300.032135,10370.3701074,11551947.6503015,481404805.905524
587,Wrapped Bitcoin,WBTC,2020-09-08 23:59:59,10726.5950402,9973.21137408,10371.583201,10146.9135384,15633079.8402491,482645257.257017
588,Wrapped Bitcoin,WBTC,2020-09-09 23:59:59,10396.0358557,9947.83353097,10143.9053296,10264.3824305,12951221.8739417,507271257.48221
589,Wrapped Bitcoin,WBTC,2020-09-10 23:59:59,10640.6147574,10252.3829706,10260.7396055,10381.2696437,30055012.1685483,532504331.737808
590,Wrapped Bitcoin,WBTC,2020-09-11 23:59:59,10464.3887649,10152.620537,10388.971829,10398.0917949,15878815.4745222,554725435.341501
591,Wrapped Bitcoin,WBTC,2020-09-12 23:59:59,10552.3088225,10333.1055609,10396.2249593,10473.9188773,19802587.1703265,581280006.703323
592,Wrapped Bitcoin,WBTC,2020-09-13 23:59:59,10605.3619545,10322.7715593,10473.9188773,10367.3009125,14182167.7553032,589357082.528136
593,Wrapped Bitcoin,WBTC,2020-09-14 23:59:59,10933.1540405,10286.5076146,10370.8971869,10700.845567,25283442.2122345,608318324.815601
594,Wrapped Bitcoin,WBTC,2020-09-15 23:59:59,10945.8091963,10644.7666599,10700.845567,10823.3463953,33204258.2398106,631943066.955241
595,Wrapped Bitcoin,WBTC,2020-09-16 23:59:59,11151.1511052,10731.0298122,10822.8892546,11031.1059707,43295301.7646898,644073531.829267
596,Wrapped Bitcoin,WBTC,2020-09-17 23:59:59,11199.4198372,10772.0612638,11031.1059707,10991.9225053,105306769.585552,708608947.567258
597,Wrapped Bitcoin,WBTC,2020-09-18 23:59:59,12287.9694277,10403.0578092,10991.9225053,10949.3591313,80768056.6779143,804478047.989062
598,Wrapped Bitcoin,WBTC,2020-09-19 23:59:59,11199.6638368,10882.9624504,10949.2470058,11145.546794,68399983.4025659,847580771.680408
599,Wrapped Bitcoin,WBTC,2020-09-20 23:59:59,11152.4560392,10847.0638904,11152.4560392,10967.9372269,56173114.8360263,844927646.472503
600,Wrapped Bitcoin,WBTC,2020-09-21 23:59:59,11049.2068372,10500.5758493,10968.4618255,10551.3470097,68364263.0408702,814147904.409297
601,Wrapped Bitcoin,WBTC,2020-09-22 23:59:59,10617.0802858,10442.5814956,10541.9223262,10539.1229254,43304622.8436034,820579122.242623
602,Wrapped Bitcoin,WBTC,2020-09-23 23:59:59,10548.8421361,10211.2607498,10539.97332286,10264.75990136,83262949.08464536,808451368.1299081
603,Wrapped Bitcoin,WBTC,2020-09-24 23:59:59,10778.38726243,10249.906405,10261.18528868,10738.42963538,99652189.71340053,876966943.1401589
604,Wrapped Bitcoin,WBTC,2020-09-25 23:59:59,10758.69112032,10593.728759,10740.36422116,10693.94576438,86512185.51171635,914040370.0541724
605,Wrapped Bitcoin,WBTC,2020-09-26 23:59:59,10779.91452553,10673.64410305,10688.02721084,10756.7108739,63154440.77778675,930157481.3382949
606,Wrapped Bitcoin,WBTC,2020-09-27 23:59:59,10810.22471721,10644.01893311,10740.40753974,10782.92902767,40488014.45325703,932424625.2786533
607,Wrapped Bitcoin,WBTC,2020-09-28 23:59:59,10952.84941122,10718.45936005,10791.7499299,10761.22120883,49232594.7338287,979454391.4487941
608,Wrapped Bitcoin,WBTC,2020-09-29 23:59:59,10856.37118598,10654.15791619,10761.23710653,10843.72740571,39214616.01577143,997803250.3433491
609,Wrapped Bitcoin,WBTC,2020-09-30 23:59:59,10850.33121094,10682.120788,10845.98527617,10779.25832515,56440834.11408146,991871033.5816556
610,Wrapped Bitcoin,WBTC,2020-10-01 23:59:59,10918.20007099,10474.11420176,10790.28170112,10621.46116192,49435314.79506202,983369955.9950106
611,Wrapped Bitcoin,WBTC,2020-10-02 23:59:59,10670.29716268,10103.22129467,10632.00039938,10573.4391845,64612885.78891328,978923922.7140706
612,Wrapped Bitcoin,WBTC,2020-10-03 23:59:59,10604.94530051,10511.52421767,10573.4391845,10556.77345687,53202710.16780981,984767740.1275073
613,Wrapped Bitcoin,WBTC,2020-10-04 23:59:59,10701.18171283,10537.99132595,10548.8480225,10667.024805,34237286.84118424,995052319.1604376
614,Wrapped Bitcoin,WBTC,2020-10-05 23:59:59,10798.8665611,10640.60940837,10667.02480498,10798.55169663,38346744.16327051,1007321545.2035245
615,Wrapped Bitcoin,WBTC,2020-10-06 23:59:59,10802.02756905,10549.70655248,10801.83282243,10612.53783883,52828967.41672387,999669302.7900326
616,Wrapped Bitcoin,WBTC,2020-10-07 23:59:59,10681.8913792,10572.30816371,10612.53783883,10670.3929312,42211602.84264937,1005119079.3408026
617,Wrapped Bitcoin,WBTC,2020-10-08 23:59:59,10944.64042415,10561.90255215,10672.87600805,10908.85962413,44709886.88055304,1038486424.2018082
618,Wrapped Bitcoin,WBTC,2020-10-09 23:59:59,11112.6414777,10855.62227373,10941.51150053,11071.4336965,54536939.35092039,1060049777.1220573
619,Wrapped Bitcoin,WBTC,2020-10-10 23:59:59,11409.23888782,11062.2551898,11064.51515275,11306.53170154,57034327.84139025,1082559561.7325118
620,Wrapped Bitcoin,WBTC,2020-10-11 23:59:59,11436.57831621,11291.24597926,11299.75603009,11379.33856788,42016865.11551239,1089757801.5366461
621,Wrapped Bitcoin,WBTC,2020-10-12 23:59:59,11708.27015908,11245.24664487,11375.00345291,11542.78760073,58802806.9019727,1132756183.0397763
622,Wrapped Bitcoin,WBTC,2020-10-13 23:59:59,11551.61562559,11324.85892502,11538.24609779,11428.21753311,27532014.51905522,1144360094.0834787
623,Wrapped Bitcoin,WBTC,2020-10-14 23:59:59,11540.09696051,11305.90248548,11427.35637634,11430.97129915,53897444.87498511,1201756409.5230434
