SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
537,Cosmos,ATOM,2020-09-01 23:59:59,7.63007080327,7.08464431218,7.2082657136,7.24629351604,371396401.376994,1467228912.9283
538,Cosmos,ATOM,2020-09-02 23:59:59,7.30907465485,6.39538997377,7.24970173646,6.65410792637,277133708.247749,1347620013.17079
539,Cosmos,ATOM,2020-09-03 23:59:59,6.7346093509,4.79570309337,6.6550904554,4.98158986395,282049166.190871,1009114810.07722
540,Cosmos,ATOM,2020-09-04 23:59:59,5.64199036439,4.77090867656,4.97280725446,5.51022497957,344004274.965903,1116443920.54785
541,Cosmos,ATOM,2020-09-05 23:59:59,5.67391394289,4.700213332,5.50867243616,4.92831726059,342853118.725775,998759946.713756
542,Cosmos,ATOM,2020-09-06 23:59:59,5.33423775222,4.56891151662,4.921299208,5.18561108245,318911091.949501,1051132158.24285
543,Cosmos,ATOM,2020-09-07 23:59:59,5.26166436985,4.66848106539,5.18728092198,5.05492833291,295960169.483883,1024866108.99557
544,Cosmos,ATOM,2020-09-08 23:59:59,5.15935637713,4.76856947835,5.05101190307,4.95616284216,358032944.327951,1005060875.59845
545,Cosmos,ATOM,2020-09-09 23:59:59,5.50695938526,4.90303255759,4.94966977829,5.33465756374,321362550.269344,1082052004.66352
546,Cosmos,ATOM,2020-09-10 23:59:59,5.56023983891,5.19962393534,5.33384157365,5.31857253764,365855869.535453,1079024494.25243
547,Cosmos,ATOM,2020-09-11 23:59:59,5.39591273857,5.06784860636,5.31857253764,5.36069948478,417767143.824061,1087807790.92348
548,Cosmos,ATOM,2020-09-12 23:59:59,5.70821103223,5.22875857116,5.35419519816,5.61104671267,360035148.649836,1138856160.60127
549,Cosmos,ATOM,2020-09-13 23:59:59,5.8284162357,5.13062100424,5.61104671267,5.28172486082,377829015.488471,1072247336.65121
550,Cosmos,ATOM,2020-09-14 23:59:59,5.54256826759,5.14404526934,5.3042035278,5.39072900229,381948275.280397,1094614865.9952
551,Cosmos,ATOM,2020-09-15 23:59:59,5.44758953705,4.82334679834,5.39072900229,4.88049011202,363508870.624595,991224564.392569
552,Cosmos,ATOM,2020-09-16 23:59:59,5.18842772004,4.73187371436,4.88032435122,5.13939735009,334951550.671996,1044035461.93464
553,Cosmos,ATOM,2020-09-17 23:59:59,5.20320543844,4.87351088475,5.13939735009,5.07155704198,340405816.374581,1030478402.48843
554,Cosmos,ATOM,2020-09-18 23:59:59,5.21177075134,4.79300804668,5.07155704198,4.96843707336,331408168.499904,1009745532.50592
555,Cosmos,ATOM,2020-09-19 23:59:59,5.04833529539,4.87353970018,4.96936057921,4.94441815239,277388052.696981,1005082804.24543
556,Cosmos,ATOM,2020-09-20 23:59:59,5.10005625811,4.54904943636,4.95244184792,4.66628970248,274054186.167615,948752097.453134
557,Cosmos,ATOM,2020-09-21 23:59:59,4.74287185917,4.01394665177,4.66453510542,4.09637877279,348171174.287183,833058272.745524
